cohort,domain,seed,arm,budget,repetitions,correct_mean,correct_sd,correct_over_N_mean,correct_over_N_sd,binary_net_correction_mean,binary_net_correction_sd,actual_call_rate_mean,actual_call_rate_sd,incremental_correct_vs_overflow_mean,incremental_correct_vs_overflow_sd,group_macro_correct_over_N_mean,group_macro_correct_over_N_sd
transfer_2048,banking,42,L_relation,0.5,20,66.9,2.5110283068684702,0.7689655172413793,0.028862394331821507,14.45,2.327750212679956,0.5862068965517241,0.0,13.9,2.5110283068684702,0.8064772727272728,0.032016602574866944
transfer_2048,travel,42,L_relation,0.5,20,162.95,0.8870412083230169,0.9206214689265536,0.005011532250412533,0.95,0.8870412083230169,0.1638418079096045,0.0,0.95,0.8870412083230169,0.9124020949212766,0.006620875444689198
transfer_2048,combined,43,L_direct,0.1,20,240.05,2.0894471693929497,0.909280303030303,0.007914572611336924,4.05,2.0894471693929497,0.2765151515151515,0.0,4.05,2.0894471693929497,0.9105611199976458,0.01201047657099411
transfer_2048,banking,43,L_direct,0.1,20,73.3,1.6575187543592476,0.8425287356321839,0.019051939705278704,3.3,1.6575187543592476,0.4942528735632184,0.0,3.3,1.6575187543592476,0.8763089225589226,0.02250229076100028
transfer_2048,travel,43,L_direct,0.1,20,166.75,1.019545822516343,0.942090395480226,0.00576014588992284,0.75,1.019545822516343,0.1694915254237288,0.0,0.75,1.019545822516343,0.9448133174363691,0.00637235980175
transfer_2048,combined,43,L_direct,0.25,20,240.35,2.1095023109728985,0.9104166666666667,0.007990539056715517,4.35,2.1095023109728985,0.30303030303030304,0.0,4.35,2.1095023109728985,0.9109262671502997,0.012641777462071605
transfer_2048,banking,43,L_direct,0.25,20,73.6,1.6982963599783725,0.8459770114942529,0.01952064781584336,3.6,1.6982963599783725,0.5402298850574713,0.0,3.6,1.6982963599783725,0.8778998316498317,0.022825583913737502
transfer_2048,travel,43,L_direct,0.25,20,166.75,0.910465468000326,0.942090395480226,0.0051438727005668075,0.75,0.910465468000326,0.1864406779661017,0.0,0.75,0.910465468000326,0.9439527026507676,0.008334099780129332
transfer_2048,combined,43,L_direct,0.5,20,243.1,3.160612865285865,0.9208333333333333,0.011972018429113126,7.1,3.160612865285865,0.6628787878787878,0.0,7.1,3.160612865285865,0.9088716698100897,0.016781098848582775
transfer_2048,banking,43,L_direct,0.5,20,73.7,1.8381913307436342,0.8471264367816091,0.021128635985559023,3.7,1.8381913307436342,0.5977011494252874,0.0,3.7,1.8381913307436342,0.875837542087542,0.023157988902720514
